"","autor","fecha","tweet_id","texto","texto_tokenizado"
"1","Stephen Lang","1675005034","1619714625670643712","#AVATAR #TheWayofWater #Quaritch #Illbenice #Once #ThenIwont https://t.co/cbOJiauPB7","c(""avatar"", ""thewayofwater"", ""quaritch"", ""illbenice"", ""once"", ""theniwont"")"
"2","Stephen Lang","1674728529","1618554880083329024","Big Muddy and me. #ampsuit #Avatar #quaritch #thewayofwater #Illbeniceoncetheniwont https://t.co/MjFts3Yjfz","c(""big"", ""muddy"", ""and"", ""me"", ""ampsuit"", ""avatar"", ""quaritch"", ""thewayofwater"", ""illbeniceoncetheniwont"")"
"3","Stephen Lang","1674486686","1617540515628552192","A blade carved by #Quaritch for #Spider when he was just a pup. #AvatarTheWayofWater https://t.co/HZ9C1FopqE","c(""blade"", ""carved"", ""by"", ""quaritch"", ""for"", ""spider"", ""when"", ""he"", ""was"", ""just"", ""pup"", ""avatarthewayofwater"")"
"4","Stephen Lang","1673711660","1614289823229173760","#AVATAR #thewayofwater #pandorarules #whysoblue https://t.co/9s0Ppj1tMh","c(""avatar"", ""thewayofwater"", ""pandorarules"", ""whysoblue"")"
"5","Stephen Lang","1672856760","1610704111158149120","@xanderberkeley Unholy love child of Ben Turpin and Keenan Wynn","c(""xanderberkeley"", ""unholy"", ""love"", ""child"", ""of"", ""ben"", ""turpin"", ""and"", ""keenan"", ""wynn"")"
"6","Stephen Lang","1671035884","1603066803780915200","#eatyoureyesforjujubes #avatartwow #quaritch #pandorarules https://t.co/ATlZ8poLNF","c(""eatyoureyesforjujubes"", ""avatartwow"", ""quaritch"", ""pandorarules"")"
"7","Stephen Lang","1670493721","1600792807198711808","#regroupinhell #avatarthewayofwater ##pandorarules https://t.co/JE7BsSPTl9","c(""regroupinhell"", ""avatarthewayofwater"", ""pandorarules"")"
"8","Stephen Lang","1669816333","1597951635942248448","#december16 #quaritchredux https://t.co/teLqgC2nbN","c(""december"", ""quaritchredux"")"
"9","Stephen Lang","1669081612","1594869993136881664","Why so blue? Find out December 16 #Avatar #TheWayOfWater #Quaritch https://t.co/MdwHbpKK7I","c(""why"", ""so"", ""blue"", ""find"", ""out"", ""december"", ""avatar"", ""thewayofwater"", ""quaritch"")"
"10","Stephen Lang","1667934113","1590057033445040128","I vote to save our democracy https://t.co/9IfjvY1j2u","c(""vote"", ""to"", ""save"", ""our"", ""democracy"")"
"11","Stephen Lang","1662425942","1566954091816910848","Possibly😇 https://t.co/o4rR0FOqjy","possibly📳"
"12","Stephen Lang","1656789184","1543311814376787968","Send and I’ll sign but SASE a must and you must send to me at this address: 65 High Ridge Road, Suite 276, Stamford CT 06905 #Fanmail #Avatar #tombstone #dontbreathe #slang https://t.co/kXGDn7iZ8S","c(""send"", ""and"", ""ll"", ""sign"", ""but"", ""sase"", ""must"", ""and"", ""you"", ""must"", ""send"", ""to"", ""me"", ""at"", ""this"", ""address"", ""high"", ""ridge"", ""road"", ""suite"", ""stamford"", ""ct"", ""fanmail"", ""avatar"", ""tombstone"", ""dontbreathe"", ""slang"")"
"13","Stephen Lang","1653995124","1531592678781206528","U send pic w/sase &amp; I’ll sign. ONLY this address: 65 High Ridge Road, Suite 276, Stamford, CT. 06905 https://t.co/mlxRlttt74","c(""send"", ""pic"", ""sase"", ""amp"", ""ll"", ""sign"", ""only"", ""this"", ""address"", ""high"", ""ridge"", ""road"", ""suite"", ""stamford"", ""ct"")"
"14","Stephen Lang","1652361203","1524739514970869760","AVATAR mailbag. Plus TOMBSTONE, DONT BREATHE, in fact any of my myriad roles. BUT as of 7/11/22, ONLY pix sent to address below will receive personal response. SASE and NO cash. You send I sign but only to and from:
65 High Ridge Road Suite 276 Stamford CT. 06905 https://t.co/QbCWhIKHU7","c(""avatar"", ""mailbag"", ""plus"", ""tombstone"", ""dont"", ""breathe"", ""in"", ""fact"", ""any"", ""of"", ""my"", ""myriad"", ""roles"", ""but"", ""as"", ""of"", ""only"", ""pix"", ""sent"", ""to"", ""address"", ""below"", ""will"", ""receive"", ""personal"", ""response"", ""sase"", ""and"", ""no"", ""cash"", ""you"", ""send"", ""sign"", ""but"", ""only"", ""to"", ""and"", ""from"", ""high"", ""ridge"", ""road"", ""suite"", ""stamford"", ""ct"")"
"15","Stephen Lang","1650825063","1518296478158147584","For my friend Michelle Carson https://t.co/2G9YS3fpvg","c(""for"", ""my"", ""friend"", ""michelle"", ""carson"")"
"16","Stephen Lang","1649334861","1512046119110414336","Namaste! https://t.co/EyNl4akJmZ","namaste"
"17","Stephen Lang","1638279917","1465678320918413312","Join me in following @newyorkstateig now led by my daughter @lucylangnyc as New York's 11th Inspector General! https://t.co/tJet81cK6f","c(""join"", ""me"", ""in"", ""following"", ""newyorkstateig"", ""now"", ""led"", ""by"", ""my"", ""daughter"", ""lucylangnyc"", ""as"", ""new"", ""york"", ""th"", ""inspector"", ""general"")"
"18","Stephen Lang","1637331182","1461699037975961600","#DedicationDay #OfByForthePeople https://t.co/ERVFsPPNi0","c(""dedicationday"", ""ofbyforthepeople"")"
"19","Stephen Lang","1637026933","1460422925031518208","@JoshMalina I was good but you were very good at it.","c(""joshmalina"", ""was"", ""good"", ""but"", ""you"", ""were"", ""very"", ""good"", ""at"", ""it"")"
"20","Stephen Lang","1636754095","1459278561605468160","https://t.co/BvNh9aNbF9","character(0)"
"21","Stephen Lang","1636664329","1458902052260626432","❤️🤍💙 https://t.co/wkEpLxdfjn","❤️🤯🔯"
"22","Stephen Lang","1629554307","1429080461838487552","#uniteforstrength #SAGAFTRAelection https://t.co/Ek4ySYyWXX","c(""uniteforstrength"", ""sagaftraelection"")"
"23","Stephen Lang","1624369368","1407333250608074752","#VoteLucyLang #ManhattanDA https://t.co/UP0yR9JFq4","c(""votelucylang"", ""manhattanda"")"
"24","Stephen Lang","1623703841","1404541828435746816","The great Don Scardino sandwich boards for Lucy #VoteLucyLang #ManhattanDA https://t.co/UFmzZvjuPZ","c(""the"", ""great"", ""don"", ""scardino"", ""sandwich"", ""boards"", ""for"", ""lucy"", ""votelucylang"", ""manhattanda"")"
"25","Stephen Lang","1623289903","1402805644546260992","@LearningBOND Policy and principle align. Very different management and leadership style.","c(""learningbond"", ""policy"", ""and"", ""principle"", ""align"", ""very"", ""different"", ""management"", ""and"", ""leadership"", ""style"")"
"26","Stephen Lang","1623081825","1401932903072862208","Lucy Lang is everyone favorite candidate because she is simply the best candidate for the job. At the final bell it’s #LucyLang #ManhattanDA #caseclosed https://t.co/thCjOxTZAV","c(""lucy"", ""lang"", ""is"", ""everyone"", ""favorite"", ""candidate"", ""because"", ""she"", ""is"", ""simply"", ""the"", ""best"", ""candidate"", ""for"", ""the"", ""job"", ""at"", ""the"", ""final"", ""bell"", ""it"", ""lucylang"", ""manhattanda"", ""caseclosed"")"
"27","Stephen Lang","1621345311","1394649435473432576","The ACTORS are come hither! Join us for a discussion with candidate @LucyLangNYC. She’ll supply the facts - we’ll supply the fiction. Tonight 6pm EST. 

https://t.co/eaf0JIU4hn https://t.co/0By7lDiX7n","c(""the"", ""actors"", ""are"", ""come"", ""hither"", ""join"", ""us"", ""for"", ""discussion"", ""with"", ""candidate"", ""lucylangnyc"", ""she"", ""ll"", ""supply"", ""the"", ""facts"", ""we"", ""ll"", ""supply"", ""the"", ""fiction"", ""tonight"", ""pm"", ""est"")"
"28","Stephen Lang","1621121110","1393709070734045184","It’s one of our extraordinarily wonderful volunteers. Hard to know who because they are all very lovely #VoteLucyLang #ManhattanDA #DemocraticPrimary6/22 https://t.co/LpvKFfVVjh","c(""it"", ""one"", ""of"", ""our"", ""extraordinarily"", ""wonderful"", ""volunteers"", ""hard"", ""to"", ""know"", ""who"", ""because"", ""they"", ""are"", ""all"", ""very"", ""lovely"", ""votelucylang"", ""manhattanda"", ""democraticprimary"")"
"29","Stephen Lang","1621084429","1393555217896062976","See you downtown on a sunny Saturday #VoteLucyLang #Chinatown #Sandwichboardingforchange https://t.co/I6w54Uduh4","c(""see"", ""you"", ""downtown"", ""on"", ""sunny"", ""saturday"", ""votelucylang"", ""chinatown"", ""sandwichboardingforchange"")"
"30","Stephen Lang","1620559676","1391354242787680256","#TimesSquare #NYC #VoteLucyLang https://t.co/traJytZFko","c(""timessquare"", ""nyc"", ""votelucylang"")"
"31","Stephen Lang","1620224292","1389947543308615680","Fede has a way with words, ya know? #nowyoullseewhatisee #ifihadahammer https://t.co/czkot2dgDr","c(""fede"", ""has"", ""way"", ""with"", ""words"", ""ya"", ""know"", ""nowyoullseewhatisee"", ""ifihadahammer"")"
