"","Rules"
"1","{WHITE METAL LANTERN} => {WHITE HANGING HEART T-LIGHT HOLDER}"
"2","{GLASS STAR FROSTED T-LIGHT HOLDER} => {WHITE HANGING HEART T-LIGHT HOLDER}"
"3","{GREEN 3 PIECE POLKADOT CUTLERY SET} => {RED 3 PIECE RETROSPOT CUTLERY SET}"
"4","{CANDLEHOLDER PINK HANGING HEART} => {WHITE HANGING HEART T-LIGHT HOLDER}"
"5","{WOODEN PICTURE FRAME WHITE FINISH} => {WOODEN FRAME ANTIQUE WHITE }"
"6","{COFFEE MUG DOG + BALL DESIGN} => {COFFEE MUG CAT + BIRD DESIGN}"
"7","{COFFEE MUG CAT + BIRD DESIGN} => {COFFEE MUG DOG + BALL DESIGN}"
"8","{JAM JAR WITH PINK LID} => {JAM JAR WITH GREEN LID}"
"9","{JAM JAR WITH GREEN LID} => {JAM JAR WITH PINK LID}"
"10","{SWEETHEART CERAMIC TRINKET BOX} => {STRAWBERRY CERAMIC TRINKET BOX}"
"11","{LOVE BUILDING BLOCK WORD} => {HOME BUILDING BLOCK WORD}"
"12","{JAM JAR WITH GREEN LID} => {JAM MAKING SET PRINTED}"
"13","{HERB MARKER THYME} => {HERB MARKER PARSLEY}"
"14","{HERB MARKER PARSLEY} => {HERB MARKER THYME}"
"15","{HERB MARKER THYME} => {HERB MARKER BASIL}"
"16","{HERB MARKER BASIL} => {HERB MARKER THYME}"
"17","{HERB MARKER PARSLEY} => {HERB MARKER BASIL}"
"18","{HERB MARKER BASIL} => {HERB MARKER PARSLEY}"
"19","{ALARM CLOCK BAKELIKE ORANGE} => {ALARM CLOCK BAKELIKE PINK}"
"20","{ALARM CLOCK BAKELIKE ORANGE} => {ALARM CLOCK BAKELIKE RED }"
"21","{ALARM CLOCK BAKELIKE ORANGE} => {ALARM CLOCK BAKELIKE GREEN}"
"22","{CHRISTMAS CRAFT WHITE FAIRY } => {PAPER CHAIN KIT VINTAGE CHRISTMAS}"
"23","{CHRISTMAS CRAFT WHITE FAIRY } => {CHRISTMAS CRAFT LITTLE FRIENDS}"
"24","{BIRD HOUSE HOT WATER BOTTLE} => {SCOTTIE DOG HOT WATER BOTTLE}"
"25","{CARD CHRISTMAS VILLAGE} => {CARD MOTORBIKE SANTA}"
"26","{STRAWBERRY CHARLOTTE BAG} => {RED RETROSPOT CHARLOTTE BAG}"
"27","{APPLE BATH SPONGE} => {STRAWBERRY BATH SPONGE }"
"28","{STRAWBERRY BATH SPONGE } => {APPLE BATH SPONGE}"
"29","{APPLE BATH SPONGE} => {SANDWICH BATH SPONGE}"
"30","{RIBBON REEL MAKING SNOWMEN } => {RIBBON REEL CHRISTMAS SOCK BAUBLE}"
"31","{ALARM CLOCK BAKELIKE PINK} => {ALARM CLOCK BAKELIKE GREEN}"
"32","{12 MESSAGE CARDS WITH ENVELOPES} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}"
"33","{WOODLAND CHARLOTTE BAG} => {RED RETROSPOT CHARLOTTE BAG}"
"34","{WICKER WREATH SMALL} => {HEART OF WICKER SMALL}"
"35","{CHRISTMAS METAL TAGS ASSORTED } => {PAPER CHAIN KIT VINTAGE CHRISTMAS}"
"36","{ALARM CLOCK BAKELIKE IVORY} => {ALARM CLOCK BAKELIKE RED }"
"37","{RETROSPOT RED WASHING UP GLOVES} => {CHRISTMAS TOILET ROLL}"
"38","{ALARM CLOCK BAKELIKE IVORY} => {ALARM CLOCK BAKELIKE GREEN}"
"39","{RIBBON REEL SOCKS AND MITTENS} => {RIBBON REEL CHRISTMAS PRESENT }"
"40","{RIBBON REEL SOCKS AND MITTENS} => {RIBBON REEL SNOWY VILLAGE}"
"41","{RIBBON REEL SOCKS AND MITTENS} => {RIBBON REEL CHRISTMAS SOCK BAUBLE}"
"42","{RIBBON REEL SOCKS AND MITTENS} => {CHRISTMAS CRAFT LITTLE FRIENDS}"
"43","{CERAMIC HEART FAIRY CAKE MONEY BANK} => {WHITE HANGING HEART T-LIGHT HOLDER}"
"44","{MAGIC DRAWING SLATE SPACEBOY } => {MAGIC DRAWING SLATE DOLLY GIRL }"
"45","{RECIPE BOX BLUE SKETCHBOOK DESIGN} => {RECIPE BOX PANTRY YELLOW DESIGN}"
"46","{CHRISTMAS GINGHAM TREE} => {CHRISTMAS GINGHAM STAR}"
"47","{CHRISTMAS GINGHAM TREE} => {HEART WOODEN CHRISTMAS DECORATION}"
"48","{CHRISTMAS GINGHAM TREE} => {CHRISTMAS GINGHAM HEART}"
"49","{CHRISTMAS GINGHAM TREE} => {STAR WOODEN CHRISTMAS DECORATION}"
"50","{CHRISTMAS GINGHAM TREE} => {HEART OF WICKER SMALL}"
