"","CD-EVALSILABO1","CD-EVALFIN2","CD-EVALINI3","CD-EVENTOSREAL4","CD-AVANCESILABO5","CD-CONTSILAB6","CD-RESPONDE7","CD-PRACTICAS8","EM-RETO1","EM-IDEA2","EM-PART3"
"DC1",1.49502222022192,1.26256767718412,1.41600592140007,1.23637456552571,1.21167532317744,1.08813482915584,1.12454785936259,0.964080928299604,1.22480042669808,1.16220888369866,1.23476788529682
"DC2",0.359496382296541,0.432879766029618,0.453950796296577,0.3863229785393,0.345770374252939,0.462724357117453,0.0434350301824124,0.590499791221116,-0.167856850461143,-0.274368268691316,-0.0690033507639615
"DC3",-0.350207266406818,1.26256767718412,1.41600592140007,1.23637456552571,-0.664452066158975,1.08813482915584,1.12454785936259,0.964080928299604,1.22480042669808,1.16220888369866,1.23476788529682
"DC4",-1.61880253846407,-0.208242710771591,-1.05242499169443,-0.973759560638961,-1.83703168449423,-0.690376200703321,-1.75022943641197,-2.24471419553527,-2.04407568218954,-1.73249407836714,-2.20800303492618
"DC5",-0.719253163732566,-0.306296736635304,-0.163789862980406,-0.0897059101730918,0.461224367442873,0.275101215505937,0.102404820864967,0.686563512184156,0.0178307864934207,-0.0330233070897999,-0.460134721582196
"DC6",-1.56278664333427,-0.810574583934406,-1.51790053530653,-0.973759560638961,-1.30769574250289,-1.29289218224744,-2.30693234130799,-2.28683737476708,-2.2811590043726,-1.31362922579172,-1.73131167674146
"DC7",1.21114076074057,0.810010634736211,1.11219903978844,0.726343613333865,0.923040340202605,1.08813482915584,1.12454785936259,0.750605992826183,0.915321031773809,1.04728271150746,1.23476788529682
"DC8",1.49502222022192,1.26256767718412,1.41600592140007,1.23637456552571,1.21167532317744,1.08813482915584,1.12454785936259,0.964080928299604,1.22480042669808,1.16220888369866,1.23476788529682
"DC9",0.572407476907549,-0.698512840090162,-0.558738809075526,0.131307502443376,-0.664452066158975,0.0718428120934613,1.12454785936259,0.964080928299604,0.218992393194197,-0.331831354786914,-0.88386037330195
"DC10",-0.719253163732566,-0.698512840090162,1.02105697530495,0.352320915059844,-0.664452066158975,-0.33467399473149,-0.408666698383843,-0.562264860335362,-0.183330820207356,0.265784740607314,0.387316581857313
"DC11",-0.350207266406818,-0.208242710771591,-0.0650526264566256,0.131307502443376,0.0390957048421797,0.0718428120934613,-0.472550638289944,0.443735773083138,-0.0324596151817733,0.228433734645175,-0.354203308652257
"DC12",-0.350207266406818,0.282027418546981,0.0995094344163411,0.499663190137488,0.898987424954703,0.749370823468379,0.698654926655246,0.501551901440523,0.554261737695492,0.664195470870132,0.881663175530359
"DC13",0.879945724679005,1.26256767718412,0.0995094344163411,1.23637456552571,0.586299526731967,0.41060681778092,1.12454785936259,0.0390228745814431,1.22480042669808,0.664195470870132,1.23476788529682
"DC14",-0.503976390292547,-0.861936216529686,-0.778154890239481,-1.15793740448602,-1.28982786260445,-1.11383120781265,-1.43080973688146,0.385919644725754,-0.954450312560333,-0.580838061201176,-0.88386037330195
"DC15",0.387884528244676,-0.306296736635304,-0.163789862980406,-0.973759560638961,-1.03967754402626,-0.537932398143964,0.102404820864967,0.964080928299604,-0.384492426908132,-0.630639402484028,-1.3075860250217
"DC16",-2.19543675303555,-2.65959335736445,0.0995094344163411,-3.18389368680364,-0.664452066158975,-2.97703323909367,-1.43080973688146,-0.423506152277638,-0.786815640309686,-0.331831354786914,-0.88386037330195
"DC17",0.387884528244676,0.478135470274409,0.626108029209834,-0.531732735406026,1.21167532317744,1.08813482915584,0.102404820864967,-0.701023568393086,0.822477213296527,0.265784740607314,-0.88386037330195
"DC18",0.359496382296541,0.0557488973230247,-0.00175952612086939,-0.803749243241678,0.201452882765523,-0.475391350940126,-0.841111830055913,-1.0639309586979,-0.941555337771822,-0.446757526978112,-0.0690033507639615
"DC19",0.572407476907549,0.0859193668195521,0.494458380511461,0.794347740292778,0.273611628509231,0.478359618918412,0.357940580489372,0.547804804126432,0.218992393194197,0.713996812152985,0.59917940771719
"DC20",0.192507288483986,0.22434857980362,0.0220684645937688,0.58633511665375,0.439152280509503,0.490315995589734,0.673602401201873,-0.0970150744947572,0.278157571635602,0.459131124411329,0.736267118567698
"DC21",-1.02119980699909,-0.698512840090162,-0.259535062033768,0.0308468603449817,-0.664452066158975,-0.574888471491688,0.195326915273841,-0.171217592172685,-0.238193076580294,0.211456004662384,0.079152471515673
"DC22",-0.903776112395439,-1.87516115045473,-0.690388457773899,-0.0897059101730918,-2.16535397762811,-1.35096601179387,0.102404820864967,-0.978540984508535,0.0178307864934207,0.415188764455871,-0.036409069862442
"DC23",1.12597632289617,0.0859193668195521,0.626108029209834,0.352320915059844,0.461224367442873,0.681618022330887,0.613476340113777,0.686563512184156,0.420153999894974,0.863400836001541,0.387316581857313
"DC24",-0.350207266406818,-0.698512840090162,-1.87523529605926,0.131307502443376,0.273611628509231,0.0718428120934613,-0.153130938759438,-1.81109323285488,-1.79262367381357,-0.331831354786914,-0.88386037330195
"DC25",1.49502222022192,1.26256767718412,-2.53348353955113,-0.973759560638961,1.21167532317744,-0.944449204968915,-1.43080973688146,0.964080928299604,1.22480042669808,-3.31991183175805,1.23476788529682
"DC26",0.111100105250365,1.26256767718412,0.757757677908208,0.683841033984545,1.21167532317744,1.08813482915584,0.485708460301575,-0.0766093821333273,0.218992393194197,0.0416787048344783,0.175453755997435
