"","V1","name","gp","min","pts","fgm","fga","fg","3p_made","3pa","3p","ftm","fta","ft","oreb","dreb","reb","ast","stl","blk","tov","target_5yrs"
"1",0,"Brandon Ingram",36,27.4,7.4,2.6,7.6,34.7,0.5,2.1,25,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,"NO"
"2",1,"Andrew Harrison",35,26.9,7.2,2,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2,2.4,3.7,1.1,0.5,1.6,"NO"
"3",2,"JaKarr Sampson",74,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,0.5,0.3,1,"NO"
"4",3,"Malik Sealy",58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1,0.9,1.9,0.8,0.6,0.1,1,"SI"
"5",4,"Matt Geiger",48,11.5,4.5,1.6,3,52.4,0,0.1,0,1.3,1.9,67.4,1,1.5,2.5,0.3,0.3,0.4,0.8,"SI"
"6",5,"Tony Bennett",75,11.4,3.7,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,1.8,0.4,0,0.7,"NO"
"7",6,"Don MacLean",62,10.9,6.6,2.5,5.8,43.5,0,0.1,50,1.5,1.8,81.1,0.5,1.4,2,0.6,0.2,0.1,0.7,"SI"
"8",7,"Tracy Murray",48,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,"SI"
"9",8,"Duane Cooper",65,9.9,2.4,1,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0,1.1,"NO"
"10",9,"Dave Johnson",42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0,0.7,"NO"
"11",10,"Corey Williams",35,6.9,2.3,0.9,2.4,36.5,0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,"NO"
"12",11,"Sam Mack",40,6.7,3.6,1.2,3,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,"SI"
"13",12,"Lorenzo Williams",27,6.6,1.3,0.6,1.3,47.2,0,0,0,0.1,0.3,28.6,0.6,1.4,2,0.2,0.2,0.6,0.3,"SI"
"14",13,"P.J. Hairston",45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,"NO"
"15",14,"Elmore Spencer",44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,"SI"
"16",15,"John Crotty",40,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1,68.4,0.1,0.3,0.4,1.4,0.3,0,0.8,"SI"
"17",16,"Stephen Howard",49,5.3,2.1,0.7,1.9,37.6,0,0,0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,"NO"
"18",17,"Randy Woods",41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1,0.3,0,0.4,"NO"
"19",18,"Larry Johnson",82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,"NO"
"20",19,"Larry Johnson",82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,"SI"
"21",20,"Billy Owens",80,31.4,14.3,5.9,11.1,52.5,0,0.1,11.1,2.6,3.9,65.4,3,5,8,2.4,1.1,0.8,2.2,"SI"
"22",21,"Stacey Augmon",82,30.5,13.3,5.4,11,48.9,0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,"SI"
"23",22,"Mark Macon",76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73,1.1,1.8,2.9,2.2,2,0.2,2,"SI"
"24",23,"Steven Smith",61,29.6,12,4.9,10.7,45.4,0.7,2,32,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1,0.3,2.5,"NO"
"25",24,"Mitch McGary",32,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1,"NO"
"26",25,"Larry Stewart",76,29.3,10.4,4,7.8,51.4,0,0,0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,"SI"
"27",26,"Mike Iuzzolino",52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0,1.8,"NO"
"28",27,"Doug Smith",76,22.5,8.8,3.8,9.2,41.5,0,0.1,0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,"SI"
"29",28,"Paul Graham",78,22,10.1,3.9,8.7,44.7,0.7,1.8,39,1.6,2.2,74.1,0.9,2,3,2.2,1.2,0.3,1.2,"NO"
"30",29,"Donald Hodge",51,20.7,8.4,3.2,6.4,49.7,0,0,0,2,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,"SI"
"31",30,"Dale Davis",64,20.3,6.2,2.4,4.4,55.2,0,0,0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,"SI"
"32",31,"Stanley Roberts",55,20.3,10.4,4.3,8.1,52.9,0,0,0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,"SI"
"33",32,"Terrell Brandon",82,19.6,7.4,3.1,7.3,41.9,0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2,3.9,1,0.3,1.7,"SI"
"34",33,"Bison Dele",48,18.9,9.1,3.6,6.8,52.8,0,0,0,2,3,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,"SI"
"35",34,"Spencer Dinwiddie",34,13.4,4.3,1.5,5,30.2,0.4,1.9,18.5,0.9,1,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1,"NO"
"36",35,"Tracy Moore",42,18.6,8.5,3.1,7.7,40,0.7,2,35.7,1.5,1.9,83.3,0.7,1.2,2,1.1,0.8,0.1,1.1,"SI"
"37",36,"Greg Anthony",82,18.4,5.5,2,5.3,37,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,"SI"
"38",37,"Kenny Anderson",64,17,7,2.9,7.5,39,0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2,3.2,1.1,0.1,1.5,"SI"
"39",38,"Victor Alexander",80,16.9,7.4,3,5.7,52.9,0,0,0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,"SI"
"40",39,"David Benoit",77,15.1,5.6,2.3,4.9,46.7,0,0.2,21.4,1.1,1.3,81,1.4,2.5,3.8,0.4,0.3,0.6,0.9,"SI"
"41",40,"Kevin Lynch",55,14.9,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1,1.5,1.5,0.7,0.2,0.8,"NO"
"42",41,"LaBradford Smith",48,14.8,5.1,2.1,5.1,40.7,0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0,1.3,"NO"
"43",42,"Chris Corchiani",51,14.5,5,1.5,3.8,39.9,0.2,0.7,27,1.8,2,87.5,0.4,1.2,1.5,2.8,0.9,0,1.4,"NO"
"44",43,"Travis Wear",51,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,"NO"
"45",44,"Robert Pack",72,12.4,4.6,1.6,3.8,42.3,0,0.1,0,1.4,1.8,80.3,0.4,0.9,1.3,1.9,0.6,0.1,1.3,"SI"
"46",45,"Pete Chilcutt",69,11.8,3.6,1.6,3.6,45.2,0,0,100,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,"SI"
"47",46,"Chris Gatling",54,11.3,5.7,2.2,3.8,56.8,0,0.1,0,1.3,2,66.1,1.4,2,3.4,0.3,0.6,0.7,0.8,"SI"
"48",47,"Tharon Mayes",24,10.6,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,"NO"
"49",48,"Eric Murdock",50,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1,"SI"
"50",49,"Randy Brown",56,9.6,3.4,1.4,3,45.6,0,0.1,0,0.7,1,65.5,0.5,0.8,1.2,1.1,0.6,0.2,0.8,"SI"
"51",50,"Greg Sutton",67,9,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1,"NO"
"52",51,"Elliot Perry",50,8.7,2.5,1,2.6,38,0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1,"SI"
"53",52,"Marty Conlon",45,8.5,2.7,1.1,2.2,47.5,0,0,0,0.5,0.7,75,0.7,0.8,1.5,0.3,0.2,0.2,0.6,"SI"
"54",53,"Rodney Monroe",38,8.2,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,"NO"
"55",54,"John Turner",42,8.2,2.8,1,2.3,43.9,0,0,0,0.7,1.4,52.5,0.9,1,1.9,0.3,0.1,0.1,0.8,"NO"
"56",55,"Mark Randall",54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,"NO"
"57",56,"Sean Green",35,7.3,4,1.8,4.5,39.2,0.1,0.3,20,0.4,0.8,53.6,0.6,0.6,1.2,0.6,0.4,0.2,0.8,"NO"
"58",57,"Kevin Brooks",37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81,0.4,0.7,1.1,0.3,0.2,0.1,0.5,"NO"
"59",58,"Doug Lee",46,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0,0.3,"NO"
"60",59,"Corey Crowder",51,6.4,2.2,0.8,2.2,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0.8,0.3,0.1,0,0.3,"NO"
"61",60,"Rich King",40,5.3,2.2,0.7,1.8,38,0,0,0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,"NO"
"62",61,"Stephen Thompson",19,4.8,1.6,0.7,1.9,37.8,0,0.1,0,0.2,0.4,37.5,0.6,0.4,1,0.4,0.3,0.2,0.3,"NO"
"63",62,"Charles Thomas",36,4.3,1.3,0.5,1.4,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0.6,0.6,0.1,0,0.5,"NO"
"64",63,"Lionel Simmons",79,37.7,18,6.9,16.5,42.2,0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,4,1.4,1.1,2.9,"SI"
"65",64,"Gary Harris",55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,"NO"
"66",65,"Derrick Coleman",74,35.2,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6,73.1,3.6,6.6,10.3,2.2,1,1.3,2.9,"SI"
"67",66,"Travis Mays",64,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4,5.2,77,0.8,1.9,2.8,4,1.3,0.2,2.5,"NO"
"68",67,"Dennis Scott",82,28.5,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75,0.8,2.1,2.9,1.6,0.8,0.3,1.6,"SI"
"69",68,"Gary Payton*",82,27.4,7.2,3.2,7,45,0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,3,6.4,2,0.2,2.2,"SI"
"70",69,"Felton Spencer",81,25.9,7.1,2.4,4.7,51.2,0,0,0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,"SI"
"71",70,"Willie Burton",76,25.4,12,4.5,10.2,44.1,0.1,0.4,13.3,3,3.9,78.2,1.5,2,3.4,1.4,0.9,0.3,1.9,"SI"
